"id","order_id","product_id","product_name","quantity","unit_price","line_total"
"6aad1605-2efb-4c39-b25b-621e73e8630e","c1f69ef9-daa6-41d7-95cf-b61046650212","e2a68020-bb4c-42f8-aa70-65074a39e7a3","BPC 157","1","10.00","10.00"
"7efe9770-c73c-43b9-b04e-05d1fdb6b305","02d51266-4249-478a-8703-f0b6ceebecbb","a6b0c975-900b-42c3-988d-c5cd8bb6f04f","Testing","1","15.00","15.00"
"e17b39ac-11d6-457c-9260-ab6a94976103","f3632415-6a4b-48b2-a8c7-6140e5b1ef29","989386d6-eae2-403c-a232-c272c75e7343","Retatrutide 20mg","2","20.00","40.00"
"f77dd364-4b48-4478-84e8-3b697159aa22","341c31e0-dbea-415e-bc1c-bd2a2d2402f9","a6b0c975-900b-42c3-988d-c5cd8bb6f04f","Testing","1","15.00","15.00"
