"id","order_id","product_id","product_name","quantity","unit_price","line_total","created_at","updated_at"
"1b56f642-2f02-4a54-aec5-3eab3a2fddf0","73984bec-7961-4a99-9f63-fe38ebe2acc5","p078","GHK-CU 100mg","2.00","51.00","102.00","""2026-03-21T10:50:54.147Z""","""2026-03-21T10:50:54.147Z"""
"1b81b6f9-5d56-495f-a359-c2fcdee5ce87","ef424a02-1925-4f55-949b-4b714f5c7cbc","p089","KLOW (TB 10mg + BPC 10mg + KPV 10mg + GHK 50mg)","1.00","160.00","160.00","""2026-03-28T19:56:43.782Z""","""2026-03-28T19:56:43.782Z"""
"1e21c9e7-5063-4800-a9e7-8b33739a7fae","68c55da7-3de1-4de5-9819-c6ec3c35849e","p012","Retatrutide 40mg","1.00","165.00","165.00","""2026-03-20T08:56:02.662Z""","""2026-03-20T08:56:02.662Z"""
"21e5d08c-79ca-4a1a-a54f-86c9251e1238","56b0fc96-fb0a-4894-90e6-b0155adc13b2","p058","Thymosin Alpha-1 10mg","0.50","125.00","62.50","""2026-03-25T14:56:25.607Z""","""2026-03-25T14:56:25.607Z"""
"26e7c5e6-1026-4a87-abbe-4e81174d947e","cf6314ad-7e40-4b9a-bf6f-0d95d4db46ca","p042","Melanotan II 10mg","0.50","40.00","20.00","""2026-03-18T20:20:09.029Z""","""2026-03-18T20:20:09.029Z"""
"283d5ac3-1d3e-4857-b66d-2780671bf3cb","0581d320-40f1-40e7-9adb-cd05ffaabda1","p108","Vilon 20mg","1.00","120.00","120.00","""2026-03-18T20:20:09.024Z""","""2026-03-18T20:20:09.024Z"""
"28a99453-8ca2-431a-8b89-74dcd6fe5c01","3bd9eefd-7e2a-4e5c-9b4e-b1cff3038cf4","p089","KLOW (TB10+BPC10+KPV10+GHK50)","1.00","160.00","160.00","""2026-03-18T20:20:08.891Z""","""2026-03-18T20:20:08.891Z"""
"28e573b4-9452-4a8f-bbcf-8e0b38248d7a","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p051","Mots-C 10mg","1.00","55.00","55.00","""2026-04-01T14:14:29.360Z""","""2026-04-01T14:14:29.360Z"""
"298d5e58-c3f4-4cfe-a64e-5185ec89a41c","a4cab9d2-7cb6-4f24-baa6-208f41bad4ca","p080","NAD+ 500mg","1.00","95.00","95.00","""2026-03-18T20:20:08.905Z""","""2026-03-18T20:20:08.905Z"""
"2aa851bf-d359-4f3c-957b-5d49b087d863","cf6314ad-7e40-4b9a-bf6f-0d95d4db46ca","p002","Tirzepatide 10mg","1.00","65.00","65.00","""2026-03-18T20:20:09.029Z""","""2026-03-18T20:20:09.029Z"""
"2da837ef-1098-445e-b99a-509cc10b7fd7","c310cffd-47c0-4225-ade9-62923897b77f","p024","HGH 10IU","2.00","50.00","100.00","""2026-03-18T20:20:08.899Z""","""2026-03-18T20:20:08.899Z"""
"2f9bbe79-35cf-4db9-bf1d-9180d3ed14af","f7a805fd-f97e-4689-a011-2737dadc372f","p080","NAD+ 500mg","1.00","95.00","95.00","""2026-03-18T20:20:08.959Z""","""2026-03-18T20:20:08.959Z"""
"3103a524-0565-4d6d-a8f8-1b8ed98dbf67","c427c53f-7a6f-4f99-87c4-e9e6224a68f7","p006","Tirzepatide 45mg","1.00","115.00","115.00","""2026-03-22T21:07:38.412Z""","""2026-03-22T21:07:38.412Z"""
"31640e8f-8fc8-4392-a6db-4ca851a4e01c","83a3d960-ba23-47a3-883c-ed6883ab9d27","p039","Epitalon 10mg","1.00","45.00","45.00","""2026-04-02T16:46:03.959Z""","""2026-04-02T16:46:03.959Z"""
"317d1ee8-fd9d-4ab0-91aa-3dcc22191528","c0a3135e-928e-4285-8916-e1f7ed71e04b","p012","Retatrutide 40mg","1.00","165.00","165.00","""2026-03-21T17:27:18.086Z""","""2026-03-21T17:27:18.086Z"""
"31e60a3c-7815-44c3-a951-987724b676e8","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p013","Retatrutide 50mg","1.00","205.00","205.00","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"32a83f5d-c655-4f5a-9cd4-1f79dfcc79ae","c67237d3-15ca-4487-b138-43c30d2e1df0","p012","Retatrutide 40mg","2.00","165.00","330.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"32cb0d0d-0a28-4620-8e6f-2b1da57a76f5","03a194ac-176f-45d5-9f81-6a28e7f17c0c","p032","TB500 (TB4) 10mg","1.00","85.00","85.00","""2026-03-30T15:48:06.049Z""","""2026-03-30T15:48:06.049Z"""
"3398f41e-ba84-4bc8-bd5b-422feea7835e","af9e5b89-b039-4746-93be-5e2c9cf2dddd","p091","Ara-290 16mg","2.00","60.00","120.00","""2026-03-18T20:20:09.007Z""","""2026-03-18T20:20:09.007Z"""
"34ac0e59-307b-499c-b6e1-b5928acf7875","83a3d960-ba23-47a3-883c-ed6883ab9d27","p042","Melanotan II 10mg","1.00","40.00","40.00","""2026-04-02T16:46:03.959Z""","""2026-04-02T16:46:03.959Z"""
"35342a0e-6866-4fe2-bc2b-7c6e0d5973f0","ed8e0967-57d6-421d-906e-8ca68e8cc3ba","p089","KLOW (TB10+BPC10+KPV10+GHK50)","1.00","160.00","160.00","""2026-03-18T20:20:09.062Z""","""2026-03-18T20:20:09.062Z"""
