id,telegram_message_id,chat_id,ticket_id,created_at
1,6821,8230888078,519935bd-4843-4ff9-9ed3-7e65b1b86fce,2026-05-06 20:48:08.350895+00
2,6837,8230888078,18e26692-a6d5-42a7-b0a2-d9bcb5e13490,2026-05-06 23:10:46.995706+00
3,6838,6178447383,18e26692-a6d5-42a7-b0a2-d9bcb5e13490,2026-05-06 23:10:47.054422+00
4,6839,6178447383,18e26692-a6d5-42a7-b0a2-d9bcb5e13490,2026-05-06 23:11:01.609627+00
5,6842,8230888078,18e26692-a6d5-42a7-b0a2-d9bcb5e13490,2026-05-06 23:11:06.007816+00
6,7085,5464787943,d9f5f67e-0112-497e-ade8-f1567f27278d,2026-05-08 03:48:25.510571+00
7,7086,6178447383,d9f5f67e-0112-497e-ade8-f1567f27278d,2026-05-08 03:48:25.583595+00
8,7133,5464787943,d9f5f67e-0112-497e-ade8-f1567f27278d,2026-05-08 09:09:04.530201+00
9,7161,7431079995,3eb024ca-e80a-47e7-84a1-9f30ec16b431,2026-05-08 15:20:36.553501+00
10,7162,6178447383,3eb024ca-e80a-47e7-84a1-9f30ec16b431,2026-05-08 15:20:36.646888+00
