id,account_username,category,subject,status,customer_unread,group_buy_id,issue_type,created_at,updated_at
519935bd-4843-4ff9-9ed3-7e65b1b86fce,Snptest,wholesale,Frj,open,t,,,2026-05-06 20:48:08.101+00,2026-05-06 20:48:08.101+00
18e26692-a6d5-42a7-b0a2-d9bcb5e13490,snptest,group_buy,Missing,in_progress,t,93V4L,,2026-05-06 23:10:46.801+00,2026-05-06 23:11:05.753+00
d9f5f67e-0112-497e-ade8-f1567f27278d,toml789,general_support,Payment,in_progress,t,,,2026-05-08 03:48:25.306+00,2026-05-08 09:09:03.183+00
3eb024ca-e80a-47e7-84a1-9f30ec16b431,xxsoca,group_buy,"Where to provide address, phone, email",open,f,GW5JW,,2026-05-08 15:20:36.349+00,2026-05-08 15:20:36.349+00
