"id","group_buy_id","label","carrier","tracking_number","status","status_code","items","cached_events","notes","tracking_url","tracking_params","last_checked","created_at","updated_at"
"parcel-087cbd30","GW5JW","2","Aramex","35712245052","delivered","40","[]","[{""date"":""2026-04-24T06:50:00Z"",""status"":""The shipment has been delivered"",""location"":""""},{""date"":""2026-04-24T05:15:00Z"",""status"":""An Aramex Delivery Champion has the shipment and is expected to reach the customer's doorstep shortly"",""location"":""""},{""date"":""2026-04-23T22:18:00Z"",""status"":""The shipment has reached Aramex transit office and is on its way to the final destination office"",""location"":""""},{""date"":""2026-04-23T12:44:00Z"",""status"":""The shipment is on its way to our Aramex facility"",""location"":""""},{""date"":""2026-04-23T11:43:00Z"",""status"":""The shipment is on its way to our Aramex facility"",""location"":""""},{""date"":""2026-04-22T13:59:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (Email)"",""location"":""""},{""date"":""2026-04-21T13:59:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (Email)"",""location"":""""},{""date"":""2026-04-21T10:37:00Z"",""status"":""The shipment is currently under customs clearance process and awaiting duty\\tax payment from the customer"",""location"":""""},{""date"":""2026-04-21T10:37:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (SMS)"",""location"":""""},{""date"":""2026-04-21T10:32:00Z"",""status"":""The shipment has arrived at the Aramex office at the destination and is being prepared for customer pickup/delivery"",""location"":""""},{""date"":""2026-04-21T04:18:00Z"",""status"":""The shipment is currently with customs clearance awaiting further details from the customer"",""location"":""""},{""date"":""2026-04-21T04:00:00Z"",""status"":""The shipment is currently going through customs inspection"",""location"":""""},{""date"":""2026-04-18T13:48:00Z"",""status"":""The shipment has left the Aramex transit office and is now on its way to the final destination country"",""location"":""""},{""date"":""2026-04-18T12:40:00Z"",""status"":""Customs declaration has been issued for inspection"",""location"":""""},{""date"":""2026-04-18T04:00:00Z"",""status"":""Shipment situation update: Flights cancelled due to ongoing geopolitical situation. Please expect delays in connectivity"",""location"":""""},{""date"":""2026-04-17T13:52:00Z"",""status"":""The shipment has reached Aramex transit office and is on its way to the final destination office"",""location"":""""},{""date"":""2026-04-17T13:41:00Z"",""status"":""The shipment has reached Aramex transit office and is on its way to the final destination office"",""location"":""""},{""date"":""2026-04-17T04:55:00Z"",""status"":""The shipment is being processed and on its way to the next destination"",""location"":""""},{""date"":""2026-04-15T18:13:00Z"",""status"":""Shipment update: Shipment Forwarded to DAC (CGP TO DAC)"",""location"":""""},{""date"":""2026-04-15T14:47:00Z"",""status"":""Shipment collected from the shipper"",""location"":""""}]",,,,"""2026-04-24T15:53:36.343Z""","""2026-04-14T08:37:14.704Z""","""2026-04-24T15:53:36.343Z"""
"parcel-330685c8","GW5JW","3","Aramex","35712246463","pending","0","[]","[]",,,,"""2026-04-26T08:04:56.120Z""","""2026-04-20T07:27:28.936Z""","""2026-04-26T08:04:56.120Z"""
"parcel-b2b73755","GW5JW","1","Aramex","35712492944","in_transit","20","[]","[{""date"":""2026-03-30T00:00:00Z"",""status"":""Shipment update: Due to on going Geo political situation and flight cancelletion, please expect delay in transit"",""location"":""""},{""date"":""2026-03-15T18:00:00Z"",""status"":""Shipment update: Due to on going Geo political situation and flight cancalletion, shipment is hold at Bahrain. Same will be forward as soon as flight resume"",""location"":""""},{""date"":""2026-03-12T04:00:00Z"",""status"":""Shipment update: Due to on going Geo political situation and flight cancalletion, shipment is hold at Bahrain. Same will be forward as soon as flight resume"",""location"":""""},{""date"":""2026-03-11T02:00:00Z"",""status"":""Shipment update: Due to on going Geo political situation and flight cancalletion, shipment offloaded at Bahrain and schedule to forward on 14th March"",""location"":""""},{""date"":""2026-03-09T07:00:00Z"",""status"":""Shipment update: Please expect delay in connection due to on going Geo political situation and flight cancalletion"",""location"":""""},{""date"":""2026-03-06T14:00:00Z"",""status"":""Shipment update: Please expect some delay in flight connection due to the ongoing geopolitical situation"",""location"":""""},{""date"":""2026-03-04T05:00:00Z"",""status"":""Shipment update: Please expect some delay in connection due to the ongoing geopolitical situation"",""location"":""""},{""date"":""2026-02-28T07:06:00Z"",""status"":""The shipment is being processed and on its way to the next destination"",""location"":""""},{""date"":""2026-02-26T17:53:00Z"",""status"":""Shipment update: Shipment Forwarded to DAC (CGP TO DAC BY A.R EXP AIR)"",""location"":""""},{""date"":""2026-02-26T17:51:00Z"",""status"":""The shipment has been received at our Aramex origin office and will continue its journey to the destination country"",""location"":""""},{""date"":""2026-02-26T17:29:00Z"",""status"":""Shipment collected from the shipper"",""location"":""""}]",,,,"""2026-04-26T08:04:58.822Z""","""2026-04-14T06:35:27.060Z""","""2026-04-26T08:04:58.822Z"""
"parcel-d00fae3e","GW5JW","4","Aramex","35712246485","in_transit","20","[]","[{""date"":""2026-04-25T14:01:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (Email)"",""location"":""""},{""date"":""2026-04-24T14:00:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (SMS)"",""location"":""""},{""date"":""2026-04-24T03:45:00Z"",""status"":""The shipment is currently with customs clearance awaiting further details from the customer"",""location"":""""},{""date"":""2026-04-23T13:59:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (Email)"",""location"":""""},{""date"":""2026-04-22T13:59:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (Email)"",""location"":""""},{""date"":""2026-04-21T13:59:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (SMS)"",""location"":""""},{""date"":""2026-04-21T11:46:00Z"",""status"":""The shipment has arrived at the Aramex office at the destination and is being prepared for customer pickup/delivery"",""location"":""""},{""date"":""2026-04-21T10:54:00Z"",""status"":""The shipment is currently under customs clearance process and awaiting duty\\tax payment from the customer"",""location"":""""},{""date"":""2026-04-21T10:54:00Z"",""status"":""Shipment update: Customer Contacted - Payment Request (Email)"",""location"":""""},{""date"":""2026-04-21T04:08:00Z"",""status"":""The shipment is currently with customs clearance awaiting further details from the customer"",""location"":""""},{""date"":""2026-04-21T04:00:00Z"",""status"":""The shipment is currently going through customs inspection"",""location"":""""},{""date"":""2026-04-20T11:24:00Z"",""status"":""Customs declaration has been issued for inspection"",""location"":""""},{""date"":""2026-04-20T09:19:00Z"",""status"":""The shipment is being processed and on its way to the next destination"",""location"":""""},{""date"":""2026-04-18T17:22:00Z"",""status"":""Shipment update: Shipment Forwarded to DHAKA (CGP TO DAC)."",""location"":""""},{""date"":""2026-04-18T15:19:00Z"",""status"":""Shipment collected from the shipper"",""location"":""""},{""date"":""2026-04-18T15:18:00Z"",""status"":""Shipment collected from the shipper"",""location"":""""}]",,,,"""2026-04-26T08:05:01.774Z""","""2026-04-20T07:28:41.381Z""","""2026-04-26T08:05:01.774Z"""
